id,email,department,position
1067,1067@hightech.com,管理,总经理
1013,1013@hightech.com,人力资源,部长
1041,1041@hightech.com,财务,部长
1068,1068@hightech.com,研发3,部长
1154,1154@hightech.com,研发小组3-4,组长
1176,1176@hightech.com,研发小组3-4,普通员工
1315,1315@hightech.com,研发小组3-4,普通员工
1152,1152@hightech.com,研发小组3-4,普通员工
1420,1420@hightech.com,研发小组3-4,普通员工
1191,1191@hightech.com,研发小组3-5,组长
1428,1428@hightech.com,研发小组3-5,普通员工
1483,1483@hightech.com,研发小组3-5,普通员工
1469,1469@hightech.com,研发小组3-5,普通员工
1156,1156@hightech.com,研发小组3-5,普通员工
1456,1456@hightech.com,研发小组3-5,普通员工
1204,1204@hightech.com,研发小组3-5,普通员工
1435,1435@hightech.com,研发小组3-5,普通员工
1207,1207@hightech.com,研发小组3-6,组长
1189,1189@hightech.com,研发小组3-6,普通员工
1330,1330@hightech.com,研发小组3-6,普通员工
1319,1319@hightech.com,研发小组3-6,普通员工
1296,1296@hightech.com,研发小组3-6,普通员工
1399,1399@hightech.com,研发小组3-6,普通员工
1263,1263@hightech.com,研发小组3-6,普通员工
1103,1103@hightech.com,研发小组3-6,普通员工
1100,1100@hightech.com,研发小组3-3,组长
1139,1139@hightech.com,研发小组3-3,普通员工
1481,1481@hightech.com,研发小组3-3,普通员工
1385,1385@hightech.com,研发小组3-3,普通员工
1147,1147@hightech.com,研发小组3-3,普通员工
1321,1321@hightech.com,研发小组3-3,普通员工
1493,1493@hightech.com,研发小组3-3,普通员工
1458,1458@hightech.com,研发小组3-3,普通员工
1170,1170@hightech.com,研发小组3-3,普通员工
1379,1379@hightech.com,研发小组3-3,普通员工
1305,1305@hightech.com,研发小组3-3,普通员工
1234,1234@hightech.com,研发小组3-3,普通员工
1362,1362@hightech.com,研发小组3-3,普通员工
1405,1405@hightech.com,研发小组3-3,普通员工
1159,1159@hightech.com,研发小组3-3,普通员工
1474,1474@hightech.com,研发小组3-3,普通员工
1098,1098@hightech.com,研发小组3-2,组长
1343,1343@hightech.com,研发小组3-2,普通员工
1127,1127@hightech.com,研发小组3-2,普通员工
1496,1496@hightech.com,研发小组3-2,普通员工
1277,1277@hightech.com,研发小组3-2,普通员工
1334,1334@hightech.com,研发小组3-2,普通员工
1209,1209@hightech.com,研发小组3-7,组长
1460,1460@hightech.com,研发小组3-7,普通员工
1126,1126@hightech.com,研发小组3-7,普通员工
1322,1322@hightech.com,研发小组3-7,普通员工
1339,1339@hightech.com,研发小组3-7,普通员工
1388,1388@hightech.com,研发小组3-7,普通员工
1349,1349@hightech.com,研发小组3-7,普通员工
1153,1153@hightech.com,研发小组3-7,普通员工
1060,1060@hightech.com,研发小组3-1,组长
1359,1359@hightech.com,研发小组3-1,普通员工
1457,1457@hightech.com,研发小组3-1,普通员工
1328,1328@hightech.com,研发小组3-1,普通员工
1145,1145@hightech.com,研发小组3-1,普通员工
1306,1306@hightech.com,研发小组3-1,普通员工
1440,1440@hightech.com,研发小组3-1,普通员工
1396,1396@hightech.com,研发小组3-1,普通员工
1446,1446@hightech.com,研发小组3-1,普通员工
1336,1336@hightech.com,研发小组3-1,普通员工
1059,1059@hightech.com,研发2,部长
1080,1080@hightech.com,研发小组2-4,组长
1364,1364@hightech.com,研发小组2-4,普通员工
1181,1181@hightech.com,研发小组2-4,普通员工
1449,1449@hightech.com,研发小组2-4,普通员工
1311,1311@hightech.com,研发小组2-4,普通员工
1193,1193@hightech.com,研发小组2-4,普通员工
1422,1422@hightech.com,研发小组2-4,普通员工
1194,1194@hightech.com,研发小组2-4,普通员工
1297,1297@hightech.com,研发小组2-4,普通员工
1384,1384@hightech.com,研发小组2-4,普通员工
1376,1376@hightech.com,研发小组2-4,普通员工
1211,1211@hightech.com,研发小组2-10,组长
1411,1411@hightech.com,研发小组2-10,普通员工
1287,1287@hightech.com,研发小组2-10,普通员工
1382,1382@hightech.com,研发小组2-10,普通员工
1231,1231@hightech.com,研发小组2-10,普通员工
1365,1365@hightech.com,研发小组2-10,普通员工
1284,1284@hightech.com,研发小组2-10,普通员工
1497,1497@hightech.com,研发小组2-10,普通员工
1164,1164@hightech.com,研发小组2-10,普通员工
1101,1101@hightech.com,研发小组2-6,组长
1356,1356@hightech.com,研发小组2-6,普通员工
1241,1241@hightech.com,研发小组2-6,普通员工
1461,1461@hightech.com,研发小组2-6,普通员工
1313,1313@hightech.com,研发小组2-6,普通员工
1352,1352@hightech.com,研发小组2-6,普通员工
1175,1175@hightech.com,研发小组2-6,普通员工
1350,1350@hightech.com,研发小组2-6,普通员工
1179,1179@hightech.com,研发小组2-6,普通员工
1338,1338@hightech.com,研发小组2-6,普通员工
1325,1325@hightech.com,研发小组2-6,普通员工
1143,1143@hightech.com,研发小组2-8,组长
1434,1434@hightech.com,研发小组2-8,普通员工
1380,1380@hightech.com,研发小组2-8,普通员工
1438,1438@hightech.com,研发小组2-8,普通员工
1367,1367@hightech.com,研发小组2-8,普通员工
1355,1355@hightech.com,研发小组2-8,普通员工
1279,1279@hightech.com,研发小组2-8,普通员工
1163,1163@hightech.com,研发小组2-8,普通员工
1324,1324@hightech.com,研发小组2-8,普通员工
1304,1304@hightech.com,研发小组2-8,普通员工
1381,1381@hightech.com,研发小组2-8,普通员工
1217,1217@hightech.com,研发小组2-8,普通员工
1119,1119@hightech.com,研发小组2-7,组长
1135,1135@hightech.com,研发小组2-7,普通员工
1238,1238@hightech.com,研发小组2-7,普通员工
1244,1244@hightech.com,研发小组2-7,普通员工
1268,1268@hightech.com,研发小组2-7,普通员工
1401,1401@hightech.com,研发小组2-7,普通员工
1148,1148@hightech.com,研发小组2-7,普通员工
1274,1274@hightech.com,研发小组2-7,普通员工
1360,1360@hightech.com,研发小组2-7,普通员工
1390,1390@hightech.com,研发小组2-7,普通员工
1291,1291@hightech.com,研发小组2-7,普通员工
1155,1155@hightech.com,研发小组2-9,组长
1421,1421@hightech.com,研发小组2-9,普通员工
1216,1216@hightech.com,研发小组2-9,普通员工
1470,1470@hightech.com,研发小组2-9,普通员工
1409,1409@hightech.com,研发小组2-9,普通员工
1462,1462@hightech.com,研发小组2-9,普通员工
1444,1444@hightech.com,研发小组2-9,普通员工
1332,1332@hightech.com,研发小组2-9,普通员工
1206,1206@hightech.com,研发小组2-9,普通员工
1283,1283@hightech.com,研发小组2-9,普通员工
1389,1389@hightech.com,研发小组2-9,普通员工
1267,1267@hightech.com,研发小组2-9,普通员工
1058,1058@hightech.com,研发小组2-2,组长
1261,1261@hightech.com,研发小组2-2,普通员工
1171,1171@hightech.com,研发小组2-2,普通员工
1333,1333@hightech.com,研发小组2-2,普通员工
1424,1424@hightech.com,研发小组2-2,普通员工
1445,1445@hightech.com,研发小组2-2,普通员工
1450,1450@hightech.com,研发小组2-2,普通员工
1202,1202@hightech.com,研发小组2-2,普通员工
1130,1130@hightech.com,研发小组2-2,普通员工
1383,1383@hightech.com,研发小组2-2,普通员工
1245,1245@hightech.com,研发小组2-2,普通员工
1489,1489@hightech.com,研发小组2-2,普通员工
1228,1228@hightech.com,研发小组2-11,组长
1290,1290@hightech.com,研发小组2-11,普通员工
1465,1465@hightech.com,研发小组2-11,普通员工
1178,1178@hightech.com,研发小组2-11,普通员工
1177,1177@hightech.com,研发小组2-11,普通员工
1174,1174@hightech.com,研发小组2-11,普通员工
1394,1394@hightech.com,研发小组2-11,普通员工
1487,1487@hightech.com,研发小组2-11,普通员工
1273,1273@hightech.com,研发小组2-11,普通员工
1096,1096@hightech.com,研发小组2-5,组长
1402,1402@hightech.com,研发小组2-5,普通员工
1478,1478@hightech.com,研发小组2-5,普通员工
1239,1239@hightech.com,研发小组2-5,普通员工
1500,1500@hightech.com,研发小组2-5,普通员工
1254,1254@hightech.com,研发小组2-5,普通员工
1079,1079@hightech.com,研发小组2-3,组长
1262,1262@hightech.com,研发小组2-3,普通员工
1395,1395@hightech.com,研发小组2-3,普通员工
1219,1219@hightech.com,研发小组2-3,普通员工
1482,1482@hightech.com,研发小组2-3,普通员工
1057,1057@hightech.com,研发小组2-1,组长
1173,1173@hightech.com,研发小组2-1,普通员工
1374,1374@hightech.com,研发小组2-1,普通员工
1410,1410@hightech.com,研发小组2-1,普通员工
1361,1361@hightech.com,研发小组2-1,普通员工
1150,1150@hightech.com,研发小组2-1,普通员工
1142,1142@hightech.com,研发小组2-1,普通员工
1007,1007@hightech.com,研发1,部长
1087,1087@hightech.com,研发小组1-1,组长
1151,1151@hightech.com,研发小组1-1,普通员工
1220,1220@hightech.com,研发小组1-1,普通员工
1286,1286@hightech.com,研发小组1-1,普通员工
1141,1141@hightech.com,研发小组1-1,普通员工
1494,1494@hightech.com,研发小组1-1,普通员工
1373,1373@hightech.com,研发小组1-1,普通员工
1172,1172@hightech.com,研发小组1-5,组长
1132,1132@hightech.com,研发小组1-5,普通员工
1490,1490@hightech.com,研发小组1-5,普通员工
1246,1246@hightech.com,研发小组1-5,普通员工
1466,1466@hightech.com,研发小组1-5,普通员工
1475,1475@hightech.com,研发小组1-5,普通员工
1314,1314@hightech.com,研发小组1-5,普通员工
1397,1397@hightech.com,研发小组1-5,普通员工
1436,1436@hightech.com,研发小组1-5,普通员工
1480,1480@hightech.com,研发小组1-5,普通员工
1257,1257@hightech.com,研发小组1-5,普通员工
1345,1345@hightech.com,研发小组1-5,普通员工
1477,1477@hightech.com,研发小组1-5,普通员工
1115,1115@hightech.com,研发小组1-3,组长
1233,1233@hightech.com,研发小组1-3,普通员工
1423,1423@hightech.com,研发小组1-3,普通员工
1471,1471@hightech.com,研发小组1-3,普通员工
1243,1243@hightech.com,研发小组1-3,普通员工
1491,1491@hightech.com,研发小组1-3,普通员工
1464,1464@hightech.com,研发小组1-3,普通员工
1169,1169@hightech.com,研发小组1-3,普通员工
1408,1408@hightech.com,研发小组1-3,普通员工
1183,1183@hightech.com,研发小组1-3,普通员工
1425,1425@hightech.com,研发小组1-3,普通员工
1357,1357@hightech.com,研发小组1-3,普通员工
1459,1459@hightech.com,研发小组1-3,普通员工
1455,1455@hightech.com,研发小组1-3,普通员工
1230,1230@hightech.com,研发小组1-9,组长
1167,1167@hightech.com,研发小组1-9,普通员工
1182,1182@hightech.com,研发小组1-9,普通员工
1354,1354@hightech.com,研发小组1-9,普通员工
1265,1265@hightech.com,研发小组1-9,普通员工
1129,1129@hightech.com,研发小组1-9,普通员工
1252,1252@hightech.com,研发小组1-9,普通员工
1223,1223@hightech.com,研发小组1-9,普通员工
1404,1404@hightech.com,研发小组1-9,普通员工
1200,1200@hightech.com,研发小组1-9,普通员工
1199,1199@hightech.com,研发小组1-7,组长
1348,1348@hightech.com,研发小组1-7,普通员工
1391,1391@hightech.com,研发小组1-7,普通员工
1278,1278@hightech.com,研发小组1-7,普通员工
1197,1197@hightech.com,研发小组1-7,普通员工
1486,1486@hightech.com,研发小组1-7,普通员工
1192,1192@hightech.com,研发小组1-6,组长
1282,1282@hightech.com,研发小组1-6,普通员工
1403,1403@hightech.com,研发小组1-6,普通员工
1303,1303@hightech.com,研发小组1-6,普通员工
1210,1210@hightech.com,研发小组1-6,普通员工
1340,1340@hightech.com,研发小组1-6,普通员工
1140,1140@hightech.com,研发小组1-6,普通员工
1484,1484@hightech.com,研发小组1-6,普通员工
1092,1092@hightech.com,研发小组1-2,组长
1270,1270@hightech.com,研发小组1-2,普通员工
1344,1344@hightech.com,研发小组1-2,普通员工
1112,1112@hightech.com,研发小组1-2,普通员工
1308,1308@hightech.com,研发小组1-2,普通员工
1301,1301@hightech.com,研发小组1-2,普通员工
1125,1125@hightech.com,研发小组1-4,组长
1307,1307@hightech.com,研发小组1-4,普通员工
1398,1398@hightech.com,研发小组1-4,普通员工
1113,1113@hightech.com,研发小组1-4,普通员工
